country,segment,sales_rep_id,sales_team_name,jobs_90d,rev_per_job,revenue_90d,pqr_90d
US,NAM,7067,US-NAM-PSE-RMT-ACC-1,43206,3.0,127775.5,65826.8
US,NAM,7076,US-NAM-SA-RMT-2,72173,1.4,100688.9,23041.3
US,NAM,7087,US-NAM-PSE-RMT-3,12408,15.0,186715.2,155648.1
US,NAM,7221,US-NAM-SA-RMT-2,49568,3.2,157788.8,81244.7
US,NAM,7308,US-NAM-LTL-RMT-2,114868,3.5,399571.8,272723.0
US,NAM,7309,US-NAM-HC-RMT-3,89759,1.9,169022.3,154182.7
US,NAM,7316,US-NAM-RHMS-RMT-5,415887,1.7,699955.9,633036.3
US,NAM,7389,US-NAM-HC-RMT-1,170083,0.2,41957.1,7982.7
US,NAM,7574,US-NAM-RHMS-RMT-4,142735,8.2,1166825.5,1422086.4
US,NAM,7650,US-NAM-SA-RMT-1,450907,0.1,31727.4,40840.5
US,NAM,7826,US-NAM-SA-RMT-4,105676,0.6,62123.5,45290.6
US,NAM,8346,US-NAM-RHMS-RMT-3,82121,2.1,175683.6,118192.6
US,NAM,8465,US-NAM-HC-RMT-5,98707,0.9,91695.7,120361.5
US,NAM,8592,US-NAM-RHMS-RMT-7,140709,1.7,242772.2,134176.7
US,NAM,8606,US-NAM-HC-RMT-4,100592,3.0,300277.6,333490.9
US,NAM,8770,US-NAM-SA-RMT-1,219645,1.5,330156.8,248743.1
US,NAM,9089,US-NAM-RHMS-RMT-4,71581,0.6,41048.0,66217.3
US,NAM,9256,US-NAM-RHMS-RMT-7,147597,0.6,85574.1,84913.1
US,NAM,9297,US-NAM-PSE-RMT-ACC-1,60426,1.9,117824.6,86015.1
US,NAM,9662,US-NAM-PSE-RMT-1,17010,9.5,161981.6,128356.7
US,NAM,9925,US-NAM-LTL-RMT-7,49888,0.8,41263.5,46868.8
US,NAM,9926,US-NAM-HC-RMT-4,68585,15.2,1043849.9,942236.6
US,NAM,9927,US-NAM-SA-RMT-5,250211,2.2,552497.4,483002.3
US,NAM,10085,US-NAM-RHMS-RMT-6,87493,2.0,178686.2,126237.5
US,NAM,10311,US-NAM-RHMS-RMT-7,71478,3.1,222993.6,201938.7
US,NAM,10327,US-NAM-RHMS-RMT-6,53845,1.9,101860.5,113174.2
US,NAM,10351,US-NAM-HC-RMT-2,99679,0.9,89208.6,75742.5
US,NAM,10467,US-NAM-RHMS-RMT-6,85868,1.8,151441.2,141126.8
US,NAM,10769,US-NAM-LTL-RMT-6,26449,17.5,463823.5,384522.5
US,NAM,10890,US-NAM-SA-RMT-4,45665,0.3,14616.5,45431.1
US,NAM,11762,US-NAM-RHMS-RMT-1,83192,2.6,220285.7,155394.4
US,NAM,12195,US-NAM-SA-RMT-2,57637,3.1,177826.1,131994.8
US,NAM,12196,US-NAM-HC-RMT-4,63233,1.9,120361.8,62861.6
US,NAM,12216,US-NAM-SA-RMT-3,144770,2.3,325826.3,378709.2
US,NAM,12637,US-NAM-SA-RMT-1,63177,2.9,181933.2,57347.5
US,NAM,13212,US-NAM-RHMS-RMT-2,329985,0.5,171547.8,174194.2
US,NAM,13213,US-NAM-LTL-RMT-3,71254,2.2,157079.3,122901.3
US,NAM,13476,US-NAM-RPO-RMT-1,108594,1.5,159000.2,92207.5
US,NAM,13477,US-NAM-SA-RMT-1,87484,0.5,46356.2,35542.5
US,NAM,13478,US-NAM-SA-RMT-1,61064,0.7,40128.2,33577.9
US,NAM,14426,US-NAM-HC-RMT-3,507097,0.2,87650.8,85611.2
US,NAM,14428,US-NAM-RHMS-RMT-1,101617,2.1,218002.3,96850.3
US,NAM,14541,US-NAM-LTL-RMT-3,66306,4.8,317414.4,133406.2
US,NAM,14542,US-NAM-LTL-RMT-2,47013,11.6,546007.1,359858.4
US,NAM,14544,US-NAM-SA-RMT-5,251343,0.8,211943.8,165844.3
US,NAM,14546,US-NAM-LTL-RMT-4,81191,7.0,568248.8,464213.8
US,NAM,14548,US-NAM-LTL-RMT-6,45115,7.6,340841.4,220457.3
US,NAM,15039,US-NAM-SA-RMT-2,64347,1.2,79630.9,43638.2
US,NAM,15041,US-NAM-HC-RMT-1,150181,0.3,51019.9,62178.4
US,NAM,15608,US-NAM-RHMS-RMT-7,108764,0.6,67806.5,60196.1
