country,segment,sales_rep_id,sales_team_name,pcid_count,impact_calls_90d,impact_calls_per_account,segment_avg_coverage,too_big
BNL,NAM,8842,NL-NAM-RHLOG-AMS-1,12,0,0,0.09,false
BNL,NAM,9592,NL-NAM-B2B-AMS-1,11,0,0,0.09,false
BNL,NAM,9828,NL-NAM-B2B-AMS-1,11,0,0,0.09,false
BNL,NAM,9895,BE-NAM-PSE-BRU-1,39,1,0,0.09,true
BNL,NAM,10014,NL-NAM-RHLOG-AMS-1,12,0,0,0.09,false
BNL,NAM,10018,NL-NAM-RHLOG-AMS-1,12,0,0,0.09,false
BNL,NAM,10233,BE-NAM-ACCSA-BRU-1,14,0,0,0.09,false
BNL,NAM,11636,NL-NAM-RHLOG-AMS-1,9,0,0,0.09,true
BNL,NAM,14732,BE-NAM-ACCSA-BRU-1,15,5,0,0.09,true
BNL,NAM,15055,NL-NAM-ACCSA-AMS-1,27,2,0,0.09,true
BNL,NAM,15382,NL-NAM-SA-AMS-1,11,0,0,0.09,false
BNL,NAM,16506,NL-NAM-SA-AMS-1,13,0,0,0.09,false
BNL,NAM,17728,NL-NAM-B2B-AMS-1,11,0,0,0.09,true
BNL,NAM,18845,BE-NAM-ACCSA-BRU-1,14,0,0,0.09,false
BNL,NAM,34395,BE-NAM-ACCSA-BRU-1,13,0,0,0.09,false
BNL,NAM,34781,NL-NAM-SA-AMS-1,16,0,0,0.09,true
BNL,NAM,35567,NL-NAM-RHLOG-AMS-1,12,0,0,0.09,true
BNL,NAM,36094,NL-NAM-SA-AMS-2,14,0,0,0.09,false
BNL,NAM,40919,NL-NAM-ACCSA-AMS-1,24,40,1,0.09,false
BNL,NAM,42336,NL-NAM-PSE-AMS-2,34,0,0,0.09,true
BNL,NAM,42814,BE-NAM-PSE-BRU-1,39,0,0,0.09,true
BNL,NAM,46717,NL-NAM-PSE-AMS-1,12,0,0,0.09,false
BNL,NAM,46909,NL-NAM-PSE-AMS-2,37,0,0,0.09,true
