country,segment,sales_rep_id,team,pcid_count,revenue_90d,pqr_90d,rev_growth_pct,jobs_90d,rev_per_job,impact_calls_90d,impact_coverage
BNL,M,13680,NL-M-DE-AMS-1,90,424348.0,355596.1,0.2,8655,49.0,249,2
BNL,M,15870,NL-M-SA-DUB-1,81,199184.6,215958.9,-0.1,18891,10.5,46,0
BNL,M,18422,NL-M-DE-AMS-1,92,453874.8,348755.2,0.3,9275,48.9,277,3
BNL,M,19493,NL-M-DE-DUB-1,90,463109.5,360673.6,0.3,12290,37.7,74,0
BNL,M,21208,NL-M-DE-DUB-2,90,411327.3,369796.0,0.1,19273,21.3,249,2
BNL,M,30795,NL-M-DE-DUB-2,93,438245.7,380323.5,0.2,15740,27.8,229,2
BNL,M,31711,NL-M-PSE-AMS-1,176,79806.3,66522.4,0.2,24102,3.3,31,0
BNL,M,32064,NL-M-SA-DUB-1,74,197871.5,176171.7,0.1,16304,12.1,244,3
BNL,M,35817,NL-M-DE-DUB-1,90,535746.6,380053.1,0.4,11479,46.7,223,2
BNL,M,38440,NL-M-SA-DUB-1,81,226985.9,236077.0,0.0,19503,11.6,216,2
BNL,M,40233,NL-M-DE-DUB-2,87,401846.5,356383.0,0.1,6407,62.7,225,2
BNL,M,41428,NL-M-SA-DUB-1,196,36395.7,20108.1,0.8,47048,0.8,231,1
BNL,M,42904,NL-M-SA-DUB-1,78,221915.6,191123.2,0.2,13389,16.6,231,2
BNL,M,44931,NL-M-DE-DUB-1,93,487304.4,396531.4,0.2,11171,43.6,213,2
BNL,M,45182,NL-M-DE-DUB-1,92,472963.6,387314.4,0.2,12375,38.2,254,2
BNL,NAM,2609,NL-NAM-ACCSA-AMS-1,23,49349.0,26686.2,0.8,78728,0.6,59,2
BNL,NAM,2769,NL-NAM-SA-AMS-1,12,61486.8,53285.0,0.2,230966,0.3,0,0
BNL,NAM,3735,NL-NAM-SA-AMS-2,15,131060.1,82194.9,0.6,89037,1.5,0,0
BNL,NAM,6572,NL-NAM-B2B-AMS-1,12,16152.8,29830.8,-0.5,48806,0.3,0,0
BNL,NAM,6949,NL-NAM-SA-AMS-2,13,110303.3,92528.3,0.2,175409,0.6,0,0
BNL,NAM,6950,NL-NAM-RHLOG-AMS-1,12,14495.1,25682.6,-0.4,8490,1.7,0,0
BNL,NAM,7652,NL-NAM-B2B-AMS-1,12,39277.0,22642.1,0.7,10494,3.7,0,0
BNL,NAM,8757,NL-NAM-PSE-AMS-1,14,96066.0,17318.5,1.0,9037,10.6,0,0
BNL,NAM,8835,NL-NAM-SA-AMS-1,13,42470.2,33558.0,0.3,90600,0.5,5,0
BNL,NAM,8842,NL-NAM-RHLOG-AMS-1,12,38214.8,27827.1,0.4,16799,2.3,0,0
BNL,NAM,9592,NL-NAM-B2B-AMS-1,11,379593.2,10509.2,1.0,13076,29.0,0,0
BNL,NAM,9828,NL-NAM-B2B-AMS-1,11,57368.9,12951.4,1.0,22098,2.6,0,0
BNL,NAM,9895,BE-NAM-PSE-BRU-1,39,76370.0,81305.4,-0.1,49603,1.5,1,0
BNL,NAM,10014,NL-NAM-RHLOG-AMS-1,12,27694.2,13697.0,1.0,28558,1.0,0,0
BNL,NAM,10018,NL-NAM-RHLOG-AMS-1,12,30578.8,28395.1,0.1,32912,0.9,0,0
BNL,NAM,10233,BE-NAM-ACCSA-BRU-1,14,35495.9,24619.5,0.4,128247,0.3,0,0
BNL,NAM,11636,NL-NAM-RHLOG-AMS-1,9,614842.8,313669.7,1.0,38852,15.8,0,0
BNL,NAM,14732,BE-NAM-ACCSA-BRU-1,15,88207.1,76962.2,0.1,125175,0.7,5,0
BNL,NAM,15055,NL-NAM-ACCSA-AMS-1,27,15951.1,21308.0,-0.3,52685,0.3,2,0
BNL,NAM,15382,NL-NAM-SA-AMS-1,11,34120.0,36862.9,-0.1,43555,0.8,0,0
BNL,NAM,16506,NL-NAM-SA-AMS-1,13,120721.7,48128.0,1.0,153977,0.8,0,0
BNL,NAM,17728,NL-NAM-B2B-AMS-1,11,67529.6,59869.8,0.1,11461,5.9,0,0
BNL,NAM,18845,BE-NAM-ACCSA-BRU-1,14,15446.6,17618.1,-0.1,138447,0.1,0,0
BNL,NAM,34395,BE-NAM-ACCSA-BRU-1,13,1955.6,6579.5,-0.5,62502,0.0,0,0
BNL,NAM,34781,NL-NAM-SA-AMS-1,16,102938.2,109444.7,-0.1,35391,2.9,0,0
BNL,NAM,35567,NL-NAM-RHLOG-AMS-1,12,181588.2,117070.2,0.6,18931,9.6,0,0
BNL,NAM,36094,NL-NAM-SA-AMS-2,14,40744.1,41487.6,0.0,92098,0.4,0,0
BNL,NAM,40919,NL-NAM-ACCSA-AMS-1,24,63710.4,24602.4,1.0,47192,1.4,40,1
BNL,NAM,42336,NL-NAM-PSE-AMS-2,34,21898.8,17295.1,0.3,23145,0.9,0,0
BNL,NAM,42814,BE-NAM-PSE-BRU-1,39,24774.4,20241.6,0.2,23896,1.0,0,0
BNL,NAM,46717,NL-NAM-PSE-AMS-1,12,36016.9,47460.3,-0.2,12886,2.8,0,0
BNL,NAM,46909,NL-NAM-PSE-AMS-2,37,25775.0,24257.8,0.1,31413,0.8,0,0
